Order_ID,Customer_ID,Product_ID,Quantity,Order_Date,Order_Time,Delivery_Date,Delivery_Time,Location,Occasion_x,Name,City,Contact_Number,Email,Gender,Address,Product_Name,Category,UnitPrice,Occasion_y,Description,TotalAmount,Year,Month,Month_Name,Day,Weekday_Name
15,C069,21,5,2023-08-26,02:52:39,30-08-2023,13:26:45,Pune,Raksha Bandhan,Hunar Tripathi,Madhyamgram,1440411271,gabainaaya@chhabra.info,Female,"H.No. 637
Walla Zila, Begusarai 750201",Quia Gift,Colors,1561,Raksha Bandhan,Autem necessitatibus perferendis consequatur suscipit iste harum sint.,7805,2023,8,August,2023-08-26,Saturday
16,C013,20,3,2023-02-16,15:06:11,20-02-2023,22:14:21,Khammam,Anniversary,Manikya Goswami,Mangalore,912112817503,settytara@gmail.com,Female,"382, Banerjee Ganj
Patna 002103",Reiciendis Box,Colors,697,Anniversary,Molestias earum quam dolor.,2091,2023,2,February,2023-02-16,Thursday
17,C056,60,2,2023-11-04,11:31:33,13-11-2023,18:40:13,Kota,Diwali,Pihu Choudhury,Haridwar,9732644810,dhanuksastry@yahoo.com,Male,"H.No. 029, Grover
Kadapa-492513",Ea Set,Sweets,827,Diwali,Ex omnis sit quibusdam.,1654,2023,11,November,2023-11-04,Saturday
18,C072,23,4,2023-12-10,10:46:15,11-12-2023,00:20:29,Moradabad,Anniversary,Charvi Karnik,Hyderabad,7573085232,mishti69@cheema.info,Male,"99/790
Subramanian Chowk, Bhagalpur 125926",Dignissimos Pack,Sweets,1098,Anniversary,Sunt laborum incidunt ad asperiores itaque minus placeat.,4392,2023,12,December,2023-12-10,Sunday
19,C072,62,4,2023-03-07,07:59:48,08-03-2023,03:04:34,Vijayanagaram,Holi,Charvi Karnik,Hyderabad,7573085232,mishti69@cheema.info,Male,"99/790
Subramanian Chowk, Bhagalpur 125926",Sed Set,Colors,1356,Holi,Sequi et dolore et consectetur odit deleniti.,5424,2023,3,March,2023-03-07,Tuesday
20,C011,52,1,2023-02-11,14:36:57,14-02-2023,01:34:16,Madurai,Valentine's Day,Lagan Kapoor,Orai,916173563562,rsidhu@gmail.com,Female,"53/710, Tailor Ganj, Gorakhpur-030540",Dolorum Box,Raksha Bandhan,236,Valentine's Day,Amet accusamus natus magni non recusandae.,236,2023,2,February,2023-02-11,Saturday
21,C090,32,1,2023-02-09,11:20:52,12-02-2023,11:36:26,Bathinda,Birthday,Drishya De,Anantapuram,3327374841,kakarazad@sura.com,Female,"12, Wali Ganj
Secunderabad 891177",Fuga Set,Soft Toys,1792,Birthday,Modi veniam vero dolores.,1792,2023,2,February,2023-02-09,Thursday
22,C054,43,1,2023-11-09,01:05:28,14-11-2023,09:49:47,Tenali,Diwali,Umang Ahuja,Bidhannagar,7271590783,saksham09@hotmail.com,Female,"06/32
Kade
Mehsana-061743",Quisquam Pack,Raksha Bandhan,750,Diwali,Odio incidunt tempore nesciunt.,750,2023,11,November,2023-11-09,Thursday
23,C041,12,3,2023-05-05,05:28:33,06-05-2023,12:12:24,Ludhiana,Anniversary,Rati Dhingra,Karaikudi,625408216,nirvisekhon@yahoo.com,Male,"71/531
Kibe Circle, Indore-971559",Non Set,Plants,672,Anniversary,Fugiat id similique minima corrupti ut sint sapiente.,2016,2023,5,May,2023-05-05,Friday
24,C018,42,3,2023-07-25,05:10:42,03-08-2023,07:57:35,Durg,All Occasions,Eva Vaidya,Nizamabad,919080029661,drishya20@kapadia.com,Male,"34/29
Manne Circle, Ahmedabad 929297",Expedita Gift,Sweets,1744,All Occasions,Necessitatibus cum dolores alias sed.,5232,2023,7,July,2023-07-25,Tuesday
25,C091,30,3,2023-07-21,10:46:57,24-07-2023,14:28:42,Panipat,Anniversary,Adira Rajan,New Delhi,915525478357,indrans79@gmail.com,Female,"H.No. 85
Bora Road
Rajpur Sonarpur-156686",Recusandae Pack,Colors,751,Anniversary,Maxime exercitationem repellat veritatis a dolorem.,2253,2023,7,July,2023-07-21,Friday
26,C040,6,3,2023-03-06,05:03:06,12-03-2023,06:06:11,Amroha,Holi,Hazel Mangat,Pallavaram,918810621361,aarnakrishna@chokshi.org,Female,"H.No. 07
Lad Ganj, Jaipur-750706",Quos Box,Cake,1112,Holi,Eum deleniti adipisci vero neque.,3336,2023,3,March,2023-03-06,Monday
27,C063,9,2,2023-08-22,11:16:28,30-08-2023,07:59:12,Raipur,Raksha Bandhan,Arhaan Ahluwalia,Jamnagar,5287021467,pihu31@edwin-bawa.com,Male,"70/415
Sarna Road, Junagadh-305320",Aperiam Box,Colors,1605,Raksha Bandhan,Explicabo totam quaerat a quaerat ducimus officia.,3210,2023,8,August,2023-08-22,Tuesday
28,C088,42,3,2023-05-05,03:25:25,10-05-2023,07:55:04,Guwahati,All Occasions,Shalv Kulkarni,Khora,919113488461,uthkarsh12@yahoo.com,Female,"H.No. 82, Kala Road, Moradabad-953360",Expedita Gift,Sweets,1744,All Occasions,Necessitatibus cum dolores alias sed.,5232,2023,5,May,2023-05-05,Friday
29,C064,10,5,2023-09-22,01:06:22,01-10-2023,14:29:16,Kollam,Birthday,Indrajit Kale,Srikakulam,916181058210,sabharwalmamooty@tella.com,Male,"191
Bera Path, Bhimavaram 502334",Accusantium Gift,Cake,259,Birthday,Minima nobis repellendus distinctio a veritatis voluptate eaque.,1295,2023,9,September,2023-09-22,Friday
30,C044,23,4,2023-01-13,09:23:33,15-01-2023,13:36:58,Bulandshahr,Anniversary,Seher Mann,Agra,9843970658,vardaniyakaran@krishnamurthy.com,Male,"H.No. 146, Ram Chowk
Meerut-776118",Dignissimos Pack,Sweets,1098,Anniversary,Sunt laborum incidunt ad asperiores itaque minus placeat.,4392,2023,1,January,2023-01-13,Friday
31,C029,7,5,2023-02-28,13:13:22,03-03-2023,23:35:49,Nandyal,Holi,Badal Sathe,Haridwar,912454360885,lavanya23@yahoo.com,Female,"H.No. 78, Suresh, Hapur-924072",Quos Set,Soft Toys,409,Holi,Sint accusamus veritatis exercitationem corporis.,2045,2023,2,February,2023-02-28,Tuesday
32,C065,7,5,2023-03-04,15:36:41,05-03-2023,15:54:10,Pudukkottai,Holi,Badal Vora,North Dumdum,9753056313,kbobal@hotmail.com,Male,"413
Ram Circle, Dhanbad-458174",Quos Set,Soft Toys,409,Holi,Sint accusamus veritatis exercitationem corporis.,2045,2023,3,March,2023-03-04,Saturday
33,C047,8,3,2023-04-15,01:37:27,25-04-2023,02:13:27,Amroha,Anniversary,Bhamini Ravi,Jorhat,910798274175,ramachandranraghav@uppal-bhandari.com,Male,"56, Tak Street, Giridih 114150",Qui Box,Sweets,252,Anniversary,Praesentium necessitatibus quos esse neque.,756,2023,4,April,2023-04-15,Saturday
34,C071,17,2,2023-10-01,22:58:15,05-10-2023,05:36:46,Tirupati,Anniversary,Purab Sheth,Tiruppur,8410472405,suhana89@yahoo.com,Male,"H.No. 12
Dua Zila, Thrissur 303124",Delectus Gift,Soft Toys,1899,Anniversary,Architecto beatae ullam ad sed dolorem voluptates est.,3798,2023,10,October,2023-10-01,Sunday
35,C055,7,5,2023-03-02,16:10:26,05-03-2023,15:00:40,Asansol,Holi,Umang Luthra,Imphal,2007986762,manikya74@bava.com,Male,"H.No. 728, Datta Chowk
Kumbakonam-380227",Quos Set,Soft Toys,409,Holi,Sint accusamus veritatis exercitationem corporis.,2045,2023,3,March,2023-03-02,Thursday
36,C029,66,1,2023-03-04,10:28:53,14-03-2023,08:14:49,New Delhi,Holi,Badal Sathe,Haridwar,912454360885,lavanya23@yahoo.com,Female,"H.No. 78, Suresh, Hapur-924072",Quas Box,Colors,610,Holi,Architecto debitis repellendus error ducimus quod quo.,610,2023,3,March,2023-03-04,Saturday
37,C096,19,5,2023-02-10,11:01:04,15-02-2023,21:19:36,Katni,Valentine's Day,Kavya Reddy,Medininagar,918680724565,balakrishnanzaina@gmail.com,Male,"88/80
Sheth Chowk, Dewas 052601",Iure Gift,Mugs,1234,Valentine's Day,Autem quaerat tempore quasi ipsam.,6170,2023,2,February,2023-02-10,Friday
38,C067,37,3,2023-11-11,12:30:28,14-11-2023,12:24:51,Indore,Diwali,Eva Sankaran,Anand,407409251,zdhar@gmail.com,Male,"538
Doctor Street, Machilipatnam 092427",Officiis Pack,Colors,1428,Diwali,Error facere quae cupiditate provident.,4284,2023,11,November,2023-11-11,Saturday
39,C054,43,2,2023-11-02,19:25:58,04-11-2023,13:28:42,Vellore,Diwali,Umang Ahuja,Bidhannagar,7271590783,saksham09@hotmail.com,Female,"06/32
Kade
Mehsana-061743",Quisquam Pack,Raksha Bandhan,750,Diwali,Odio incidunt tempore nesciunt.,1500,2023,11,November,2023-11-02,Thursday
40,C066,48,4,2023-11-02,14:15:10,05-11-2023,04:29:54,Raiganj,Diwali,Eshani Buch,Malegaon,7436178055,traval@ratta-bumb.net,Female,"209
Lad Street, Ludhiana-431855",Maiores Gift,Colors,433,Diwali,Repellendus quae iusto nostrum commodi adipisci.,1732,2023,11,November,2023-11-02,Thursday
41,C047,54,4,2023-06-08,19:19:50,10-06-2023,14:29:42,Saharsa,Anniversary,Bhamini Ravi,Jorhat,910798274175,ramachandranraghav@uppal-bhandari.com,Male,"56, Tak Street, Giridih 114150",Occaecati Gift,Cake,1236,Anniversary,Ducimus possimus saepe totam impedit amet reprehenderit.,4944,2023,6,June,2023-06-08,Thursday
42,C080,35,1,2023-02-26,00:08:38,07-03-2023,17:18:28,Faridabad,Holi,Mohanlal Garde,Bhopal,8448890371,shroffzaina@hotmail.com,Male,"80/990
Yogi Road
Anantapuram-218176",Nam Gift,Colors,1865,Holi,Ab possimus tempore maiores nesciunt enim placeat excepturi.,1865,2023,2,February,2023-02-26,Sunday
43,C046,49,3,2023-02-12,22:31:16,16-02-2023,02:47:47,Sambalpur,Valentine's Day,Tara Kannan,Guna,917543187237,madanheer@gmail.com,Male,"H.No. 26
Khurana, Kharagpur-183176",Voluptate Pack,Colors,903,Valentine's Day,Saepe ratione ab inventore dignissimos.,2709,2023,2,February,2023-02-12,Sunday
44,C006,14,1,2023-07-17,21:57:56,27-07-2023,10:48:09,Bhavnagar,Birthday,Rania Mann,Karimnagar,919363577179,evaswamy@biswas-sekhon.com,Female,"15/89, Dayal Chowk, Rohtak 586046",Deserunt Box,Colors,1915,Birthday,Incidunt hic vero esse saepe illum.,1915,2023,7,July,2023-07-17,Monday
45,C097,61,5,2023-04-28,14:26:26,29-04-2023,06:16:36,Haldia,Anniversary,Nakul Randhawa,Sri Ganganagar,456900126,tlall@ramanathan.info,Female,"376
Tiwari Zila, Munger-178543",Iusto Box,Plants,810,Anniversary,Sequi numquam rerum aspernatur aspernatur in.,4050,2023,4,April,2023-04-28,Friday
46,C059,22,4,2023-04-18,03:21:11,23-04-2023,08:02:45,Guna,All Occasions,Nirvi Wagle,Kalyan-Dombivli,5869821393,mandalbhamini@gmail.com,Male,"77
Walla Ganj, Ambarnath-616114",Exercitationem Pack,Soft Toys,1639,All Occasions,Iusto cum nostrum quasi dicta totam error.,6556,2023,4,April,2023-04-18,Tuesday
47,C013,7,5,2023-02-26,13:04:28,28-02-2023,06:00:20,Jaipur,Holi,Manikya Goswami,Mangalore,912112817503,settytara@gmail.com,Female,"382, Banerjee Ganj
Patna 002103",Quos Set,Soft Toys,409,Holi,Sint accusamus veritatis exercitationem corporis.,2045,2023,2,February,2023-02-26,Sunday
48,C031,65,4,2023-11-12,20:00:30,16-11-2023,05:31:42,Delhi,All Occasions,Madhup Wable,Sasaram,135745753,priyansh11@dua-tella.com,Female,"H.No. 69
Shere
Durgapur 474507",Error Gift,Raksha Bandhan,1895,All Occasions,Ratione alias nam dignissimos ullam.,7580,2023,11,November,2023-11-12,Sunday
49,C020,43,1,2023-11-11,17:44:30,18-11-2023,13:49:52,Nangloi Jat,Diwali,Samaira Ganesh,Machilipatnam,1731643700,golesana@varty-gill.com,Male,"12, Khosla Chowk
Gopalpur-059682",Quisquam Pack,Raksha Bandhan,750,Diwali,Odio incidunt tempore nesciunt.,750,2023,11,November,2023-11-11,Saturday
50,C014,41,4,2023-11-09,06:56:33,16-11-2023,10:19:22,Jamalpur,Diwali,Indrans Shukla,Panvel,2717671919,rajagopalfateh@dhingra.info,Female,"67/61, Balan Nagar
Dehri-162882",Aut Box,Sweets,1977,Diwali,Ab quisquam nobis ducimus.,7908,2023,11,November,2023-11-09,Thursday
51,C036,10,1,2023-03-15,09:23:49,19-03-2023,16:46:40,Agartala,Birthday,Biju Bajwa,Dibrugarh,918721850071,choudhryrohan@hotmail.com,Female,"373
Ganguly Street, Kurnool 041608",Accusantium Gift,Cake,259,Birthday,Minima nobis repellendus distinctio a veritatis voluptate eaque.,259,2023,3,March,2023-03-15,Wednesday
52,C023,9,1,2023-08-29,19:55:22,07-09-2023,04:22:02,Hospet,Raksha Bandhan,Abram Sandhu,Bidhannagar,7196287267,sibalnitya@bhasin.net,Male,"H.No. 13
Lad Road
Bhiwandi 874382",Aperiam Box,Colors,1605,Raksha Bandhan,Explicabo totam quaerat a quaerat ducimus officia.,1605,2023,8,August,2023-08-29,Tuesday
53,C045,9,5,2023-08-20,08:25:45,27-08-2023,05:59:31,Kozhikode,Raksha Bandhan,Divit Mahajan,Maheshtala,6789522856,krishchoudhury@kakar.com,Female,"25/685, Kannan Street, Erode-345276",Aperiam Box,Colors,1605,Raksha Bandhan,Explicabo totam quaerat a quaerat ducimus officia.,8025,2023,8,August,2023-08-20,Sunday
54,C059,30,1,2023-04-13,09:55:01,23-04-2023,14:30:59,Ratlam,Anniversary,Nirvi Wagle,Kalyan-Dombivli,5869821393,mandalbhamini@gmail.com,Male,"77
Walla Ganj, Ambarnath-616114",Recusandae Pack,Colors,751,Anniversary,Maxime exercitationem repellat veritatis a dolorem.,751,2023,4,April,2023-04-13,Thursday
55,C040,5,1,2023-02-08,08:01:07,13-02-2023,07:42:58,Kottayam,All Occasions,Hazel Mangat,Pallavaram,918810621361,aarnakrishna@chokshi.org,Female,"H.No. 07
Lad Ganj, Jaipur-750706",Natus Gift,Colors,1444,All Occasions,Quis occaecati reprehenderit facere tenetur illum exercitationem.,1444,2023,2,February,2023-02-08,Wednesday
56,C095,58,5,2023-02-08,12:11:48,13-02-2023,18:51:59,Danapur,Valentine's Day,Mahika Cherian,Warangal,2769457161,pgala@yahoo.com,Female,"765
Srinivasan Ganj
Gangtok-960690",Sed Pack,Cake,1492,Valentine's Day,Reiciendis nam omnis vel explicabo amet perferendis.,7460,2023,2,February,2023-02-08,Wednesday
57,C090,35,5,2023-02-26,08:00:15,06-03-2023,12:27:32,Ahmedabad,Holi,Drishya De,Anantapuram,3327374841,kakarazad@sura.com,Female,"12, Wali Ganj
Secunderabad 891177",Nam Gift,Colors,1865,Holi,Ab possimus tempore maiores nesciunt enim placeat excepturi.,9325,2023,2,February,2023-02-26,Sunday
58,C077,36,1,2023-01-06,02:51:30,15-01-2023,08:26:18,Amravati,Birthday,Gokul Ahluwalia,Panchkula,910413737551,khalsatarini@bora.com,Female,"645, Grewal Street, Bardhaman-621911",Cum Gift,Plants,203,Birthday,Magni maiores ullam fugiat.,203,2023,1,January,2023-01-06,Friday
59,C041,51,5,2023-06-26,03:56:15,28-06-2023,20:10:04,Thiruvananthapuram,All Occasions,Rati Dhingra,Karaikudi,625408216,nirvisekhon@yahoo.com,Male,"71/531
Kibe Circle, Indore-971559",Fugit Set,Soft Toys,1084,All Occasions,Maiores hic veritatis corporis modi.,5420,2023,6,June,2023-06-26,Monday
60,C023,5,2,2023-12-13,06:46:45,15-12-2023,13:03:56,Darbhanga,All Occasions,Abram Sandhu,Bidhannagar,7196287267,sibalnitya@bhasin.net,Male,"H.No. 13
Lad Road
Bhiwandi 874382",Natus Gift,Colors,1444,All Occasions,Quis occaecati reprehenderit facere tenetur illum exercitationem.,2888,2023,12,December,2023-12-13,Wednesday
61,C058,44,2,2023-11-08,22:26:25,10-11-2023,08:08:31,Panihati,Diwali,Charvi Kanda,Guntakal,919771604920,miraan05@gmail.com,Male,"25
Srinivasan Ganj, Mira-Bhayandar-341661",Dolorum Set,Plants,794,Diwali,Nam quod aliquid.,1588,2023,11,November,2023-11-08,Wednesday
62,C074,6,4,2023-03-02,15:30:51,06-03-2023,23:51:40,Jorhat,Holi,Vanya Apte,Sultan Pur Majra,919182523205,gdoshi@gmail.com,Female,"509, Shah Road, Medininagar 212721",Quos Box,Cake,1112,Holi,Eum deleniti adipisci vero neque.,4448,2023,3,March,2023-03-02,Thursday
63,C056,42,3,2023-06-25,06:22:38,26-06-2023,15:40:04,Munger,All Occasions,Pihu Choudhury,Haridwar,9732644810,dhanuksastry@yahoo.com,Male,"H.No. 029, Grover
Kadapa-492513",Expedita Gift,Sweets,1744,All Occasions,Necessitatibus cum dolores alias sed.,5232,2023,6,June,2023-06-25,Sunday
64,C015,25,1,2023-06-12,02:48:39,15-06-2023,22:05:41,Chittoor,Anniversary,Romil Bajwa,Kolkata,918664164910,taimurkashyap@halder.com,Female,"890, Sathe Circle
Moradabad 800838",Qui Gift,Plants,1202,Anniversary,Maxime culpa earum blanditiis.,1202,2023,6,June,2023-06-12,Monday
65,C033,54,2,2023-09-01,13:02:28,11-09-2023,06:33:52,Berhampur,Anniversary,Suhana Kurian,Indore,5713958095,nbains@hotmail.com,Female,"56/734, Som Marg
Bhimavaram 598548",Occaecati Gift,Cake,1236,Anniversary,Ducimus possimus saepe totam impedit amet reprehenderit.,2472,2023,9,September,2023-09-01,Friday
66,C017,35,5,2023-02-26,21:00:44,27-02-2023,06:25:58,Munger,Holi,Advika Dhar,Gangtok,912738556486,pmaster@deol.com,Male,"80/81, Varghese Chowk, Bidhannagar-928710",Nam Gift,Colors,1865,Holi,Ab possimus tempore maiores nesciunt enim placeat excepturi.,9325,2023,2,February,2023-02-26,Sunday
67,C047,10,2,2023-07-06,17:28:21,14-07-2023,21:11:01,Thrissur,Birthday,Bhamini Ravi,Jorhat,910798274175,ramachandranraghav@uppal-bhandari.com,Male,"56, Tak Street, Giridih 114150",Accusantium Gift,Cake,259,Birthday,Minima nobis repellendus distinctio a veritatis voluptate eaque.,518,2023,7,July,2023-07-06,Thursday
68,C050,34,4,2023-08-25,22:43:58,31-08-2023,21:31:14,Ahmedabad,Raksha Bandhan,Chirag Srinivas,Imphal,911157961919,xmand@hotmail.com,Female,"80/683
Gandhi Zila
Amravati-523734",Placeat Pack,Soft Toys,1335,Raksha Bandhan,Illo in quas at rem.,5340,2023,8,August,2023-08-25,Friday
69,C091,12,4,2023-09-02,19:21:41,08-09-2023,09:30:02,Hyderabad,Anniversary,Adira Rajan,New Delhi,915525478357,indrans79@gmail.com,Female,"H.No. 85
Bora Road
Rajpur Sonarpur-156686",Non Set,Plants,672,Anniversary,Fugiat id similique minima corrupti ut sint sapiente.,2688,2023,9,September,2023-09-02,Saturday
70,C037,17,1,2023-09-28,04:21:09,03-10-2023,11:44:33,Vijayanagaram,Anniversary,Aradhya Kumar,Davanagere,1972392634,faiyaz10@yahoo.com,Male,"123, Sagar Road
Dharmavaram-048740",Delectus Gift,Soft Toys,1899,Anniversary,Architecto beatae ullam ad sed dolorem voluptates est.,1899,2023,9,September,2023-09-28,Thursday
71,C013,9,5,2023-08-20,16:32:06,28-08-2023,13:31:32,Karnal,Raksha Bandhan,Manikya Goswami,Mangalore,912112817503,settytara@gmail.com,Female,"382, Banerjee Ganj
Patna 002103",Aperiam Box,Colors,1605,Raksha Bandhan,Explicabo totam quaerat a quaerat ducimus officia.,8025,2023,8,August,2023-08-20,Sunday
72,C058,26,3,2023-03-03,15:49:26,12-03-2023,17:34:10,Bally,Holi,Charvi Kanda,Guntakal,919771604920,miraan05@gmail.com,Male,"25
Srinivasan Ganj, Mira-Bhayandar-341661",Aliquam Box,Colors,289,Holi,Sunt repellendus quidem laborum provident voluptas ut nisi.,867,2023,3,March,2023-03-03,Friday
73,C057,26,1,2023-03-03,12:52:36,11-03-2023,01:28:36,Farrukhabad,Holi,Zain Hegde,Delhi,8736997123,faiyazsagar@thakur-chakrabarti.com,Female,"63/17
Bal Circle
Dehradun 365978",Aliquam Box,Colors,289,Holi,Sunt repellendus quidem laborum provident voluptas ut nisi.,289,2023,3,March,2023-03-03,Friday
74,C024,31,3,2023-01-01,20:55:22,07-01-2023,09:02:03,Shivpuri,All Occasions,Jhanvi Chowdhury,Kavali,910316756360,magarvardaniya@biswas.com,Female,"827, Shere Nagar, Mangalore 084058",Nihil Box,Colors,1804,All Occasions,Eveniet sint molestiae.,5412,2023,1,January,2023-01-01,Sunday
75,C009,65,2,2023-04-06,11:10:24,09-04-2023,23:00:34,Bally,All Occasions,Ritvik Borah,Madurai,1336765676,daliajivika@yahoo.com,Female,"28/64
Lanka Marg, Ramgarh 141634",Error Gift,Raksha Bandhan,1895,All Occasions,Ratione alias nam dignissimos ullam.,3790,2023,4,April,2023-04-06,Thursday
76,C054,4,1,2023-11-09,05:13:11,12-11-2023,00:34:50,Anand,Diwali,Umang Ahuja,Bidhannagar,7271590783,saksham09@hotmail.com,Female,"06/32
Kade
Mehsana-061743",Accusantium Set,Sweets,1199,Diwali,Corporis odio consequatur perferendis repellendus laudantium deserunt.,1199,2023,11,November,2023-11-09,Thursday
77,C028,42,3,2023-08-05,01:07:11,13-08-2023,16:20:52,Kanpur,All Occasions,Hridaan Rajagopalan,Noida,2539728317,indrans49@thaman-chopra.net,Female,"01, Kapur Road, Agra-329913",Expedita Gift,Sweets,1744,All Occasions,Necessitatibus cum dolores alias sed.,5232,2023,8,August,2023-08-05,Saturday
78,C062,11,2,2023-02-04,13:00:09,08-02-2023,20:31:15,Pallavaram,Valentine's Day,Inaaya  Sarraf,Nagpur,915915082470,kotharilakshay@cherian.com,Male,"78/08
Dyal Ganj
Satara-877913",Maxime Set,Mugs,1096,Valentine's Day,Sapiente exercitationem illo sed ea.,2192,2023,2,February,2023-02-04,Saturday
79,C010,40,2,2023-06-01,17:29:30,11-06-2023,07:34:53,Varanasi,Anniversary,Darshit Dave,Kanpur,1608833065,fateh26@hotmail.com,Male,"H.No. 21
Singhal Path
Hindupur 170985",Provident Pack,Sweets,1923,Anniversary,Voluptate eaque accusamus nobis voluptatem accusamus.,3846,2023,6,June,2023-06-01,Thursday
80,C008,39,4,2023-01-02,11:07:02,11-01-2023,02:05:50,Salem,All Occasions,Veer Ray,Chinsurah,7138085704,uthkarshjohal@yahoo.com,Female,"H.No. 589, Gala Circle, Nandyal-774484",Voluptate Set,Mugs,387,All Occasions,Voluptates nostrum ratione sint odit dolore consectetur.,1548,2023,1,January,2023-01-02,Monday
